,image_id,file_id,img_file_orig,justification,occurances,transcribed_text,handwriting,transcribed_orig_if_handwritting,notes,
4697,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,1,1. Regulation 12 makes it an offence to escape from internment.,,,,
4698,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,2,3. The Prisons Act could presumably also be used against people who escape from internment.,,,,
4699,IMG_1758,CJ_4_251,IMG_1758_CJ_4_251,J_Legal_Procedure,3,*But Regulation 11 makes it an offence to help anyone to escape from detention.,,,,
147,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Denial,1,"It says that arrests are to be made ""in respect of conduct and not simply membership of an illegal organization.""",,,,
3549,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Law-and-order,1,"Paragraph (b) of the Army letter envisages that persons may be arrested under Regulation 10 ""for purposes of questioning prior to preferment of criminal charges"". I am uncertain whether an arrest for such purposes would properly be within the powers confferred by Regulation 10. When we redrafted the main policy document, our main object was to preserve the powers of arrest under Regulation 11(1); these powers contemplate that persons so arrested could, in certain circumstances, be brought before the courts and the powers of arrest relate to any person whom the arresting officer ""suspects of acting or of having acted or being about to act in a manner prejudicial to the preservation of the peace or the maintenance of order"" and so on.",,,,
4711,IMG_1770,CJ_4_251,IMG_1770_CJ_4_251,J_Legal_Procedure,1,"Paragraph (b) of the Army letter envisages that persons may be arrested under Regulation 10 ""for purposes of questioning prior to preferment of criminal charges"". I am uncertain whether an arrest for such purposes would properly be within the powers confferred by Regulation 10. When we redrafted the main policy document, our main object was to preserve the powers of arrest under Regulation 11(1); these powers contemplate that persons so arrested could, in certain circumstances, be brought before the courts and the powers of arrest relate to any person whom the arresting officer ""suspects of acting or of having acted or being about to act in a manner prejudicial to the preservation of the peace or the maintenance of order"" and so on.",,,,
1995,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Emergency-Policy,1,It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,,,,
6216,IMG_1786,CJ_4_251,IMG_1786_CJ_4_251,J_Misc,1,It has always been a long-term aim to phase out internment but we must await the results of the cease-fire before consideration can be given to any further steps towards the restoration of normality.,,,,
8883,IMG_1805,CJ_4_458,IMG_1805_CJ_4_458,J_Terrorism,1,"Mr. Woodfild: I think the [] is that both 7b and 7e now cover, as drafted, Protestant terrorists.",,,,
2079,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,J_Emergency-Policy,1,Wanted list will be supplemented from time to time.,,,,
8897,IMG_1808,CJ_4_458,IMG_1808_CJ_4_458,J_Terrorism,1,Wanted list will be supplemented from time to time.,,,,
2086,IMG_1809,CJ_4_458,IMG_1809_CJ_4_458,J_Emergency-Policy,1,5. There are two points at issue: (a) the form of words to be used in describing those terrorists other than members of the Provisional IRA who are to be arrested in the absence of evidence on which to base a criminal charge and (b) the timing of such instructions.,,,,
8904,IMG_1809,CJ_4_458,IMG_1809_CJ_4_458,J_Terrorism,1,5. There are two points at issue: (a) the form of words to be used in describing those terrorists other than members of the Provisional IRA who are to be arrested in the absence of evidence on which to base a criminal charge and (b) the timing of such instructions.,,,,
5012,IMG_1828,CJ_4_458,IMG_1828_CJ_4_458,J_Legal_Procedure,1,In addition the Civil Authorities (Special Powers) Act (Northern Ireland (1922) (referred to as the Special Powers Act or SPA) confers further powers of arrest on soldiers when on duty.,,,,
2107,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Emergency-Policy,1,"c. Anyone known to be holding officer rank in the Provisional IRA even though there is no evidence to justify criminal charges. D. Provisional IRA Volunteers who, on the strength of reliable intelligence, are known to be an exceptionally serious threat to security.",,,,
5019,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Legal_Procedure,1,"If an [order] is given which causes the soldier to suspect the person of falling into one of the categories in paragraph 7 above, he should arrest him under Regulation 11 of the SPA, remembering to use the appropriate formula from paragaph 6 of the Blue Card.",,,,
8932,IMG_1829,CJ_4_458,IMG_1829_CJ_4_458,J_Terrorism,1,"c. Anyone known to be holding officer rank in the Provisional IRA even though there is no evidence to justify criminal charges. D. Provisional IRA Volunteers who, on the strength of reliable intelligence, are known to be an exceptionally serious threat to security.",,,,
2114,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Emergency-Policy,1,"A soldier on duty also has certain additional powers to question people and make arrests under the Civil Authorities (Special Powers) Act (NI) 1922 - (SPA). The circumstances under which a soldier may use his powers of arrest depend upon the scale of military operations, and specific guidance on current arrest policy is to be found in the Operational Directives issued by CLF from time to time.",,,,
5026,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Legal_Procedure,1,"A soldier on duty also has certain additional powers to question people and make arrests under the Civil Authorities (Special Powers) Act (NI) 1922 - (SPA). The circumstances under which a soldier may use his powers of arrest depend upon the scale of military operations, and specific guidance on current arrest policy is to be found in the Operational Directives issued by CLF from time to time.",,,,
6706,IMG_1837,CJ_4_458,IMG_1837_CJ_4_458,J_Misc,1,"If the answer appears to be reasonable, but suspicion still remains that the person os concealing information or may have lied as to his identity, and arrest may be made under Regulation 11, on such grounds as are appropriate in the circumstances.",,,,
3773,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Law-and-order,1,a. Acting in a manner prejudicial to the preservation of the peace or maintenance of order (eg preparing explosives); b. Having acted as in a; c. Being about to act as in a.,,,,
3774,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Law-and-order,2,e. Being in possession of any article or document which is being used or is intended to be used in a way prejudicial to the preservation of the peace or maintenance of order (eg an instruction on how to prepare an explosive mix).,,,,
5033,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Legal_Procedure,1,"9. A soldier has certain powers of arrest under SPA Regulations 10 and 11. Regulation 10 enables an officer of the RUC (not below the rank of Superintendent) to authorise a soldier to arrest any person for interrogation, and Regulation 11 enables a soldier on duty to arrest a person about whom he has one of the following suspicions: a. Acting in a manner prejudicial to the preservation of the peace or maintenance of order (eg preparing explosives); b. Having acted as in a; c. Being about to act as in a; d. Having committed an offense avainst SPA Regulations (eg being a member of the IRA); e. Being in possession of any article or document which is being used or is intended to be used in a way prejudicial to the preservation of the peace or maintenance of order (eg an instruction on how to prepare an explosive mix).",,,,
6713,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Misc,1,"In such circumstances, however, the person's behaviour, or even his presence on the street, will often provide grounds for an arrest under Regulation 11.",,,,
8939,IMG_1838,CJ_4_458,IMG_1838_CJ_4_458,J_Terrorism,1,d. Having committed an offence avainst SPA Regulations (eg being a member of the IRA).,,,,
2121,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Emergency-Policy,1,"""I suspect you of having committed acts prejudicial to the peace; OR ""I suspect you of being about to commit acts prejudicial to the peace;",,,,
2122,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Emergency-Policy,2,"""I suspect that this article (document) (letter) (book) which I have found in your possession is intended to be used for a purpose prejudicial to the preservation of the peace.""",,,,
8946,IMG_1839,CJ_4_458,IMG_1839_CJ_4_458,J_Terrorism,1,"""I suspect you of being a member of the IRA (or Sinn Fein, or the UVT, or any other unlawful association, as appropriate);",,,,
5047,IMG_1843,CJ_4_458,IMG_1843_CJ_4_458,J_Legal_Procedure,1,"Females: 33. Females must not be arrested under the SPA simply for the purpose of interrogation. Females may however be arrested if caught committing an offense red-handed or, under SPA Regulation 11, on suspicion of having committed an offence.",,,,
8953,IMG_1848,CJ_4_458,IMG_1848_CJ_4_458,J_Terrorism,1,He was of course thinking primarily of the vital need to allow adequate time for deliberation (and if necessary reference to Ministers) about what to do with any leading Protestant extremist who has been arrested for any reason.,,,,
8960,IMG_1855,CJ_4_458,IMG_1855_CJ_4_458,J_Terrorism,1,"In drawing on the guidelines on arrest policy at our meeting on 10 August, my colleagues and I included in the categories to be arrested if opportunity arises (including those who an arrest can be charged or could probably be charged after further questioning) anyone holding officer rank in the Provisional IRA even though there is no evidence to justify criminal proceedings"". This category was construed as referring to some 200 persons who might be regarded as holding offier status.",,,,
8961,IMG_1855,CJ_4_458,IMG_1855_CJ_4_458,J_Terrorism,2,"In giving effect to this policy I am prepared to consider signing detention orders against those members of the Provisional IRA who are commanding officers, [], quartermasters, engineer officers and intelligence officers. In exceptional cases I am also willing to consider on their merits applications for detention orders in respect of other officers and of volunteers who can be shown to be a serious threat to security.",,,,
5054,IMG_1857,CJ_4_458,IMG_1857_CJ_4_458,J_Legal_Procedure,1,"Mr McCrery of NICRA (telephone 23351) telephoned this afternoon to ask about [XXX] who has been under arrest under the Special Powers Act for 48 hours. Mr McCrory asked what was to happen to [XXX], and whether he could be held for more than 48 hours under the SPA without a detention order being made. I checked with Chief Superintendent Miller who said that the recommendation for a detention order is on its way to Mr Channon. I agree with Mr Miller that I would say to Mr McCrory that the police were still considering whether to bring a charge or recommend a detention order and I have so informed Mr McCrory.",,,,
5089,IMG_1868,CJ_4_458,IMG_1868_CJ_4_458,J_Legal_Procedure,1,"The Army, who are now under heavy fire from the IRA, recommend that in present circumstances those on List B and C should where possible be arrested under the Special Powers Act and, where no other charges can be preferred, should either be charged with being members of an illegal organization or detained.",,,,
8981,IMG_1868,CJ_4_458,IMG_1868_CJ_4_458,J_Terrorism,1,"The Army, who are now under heavy fire from the IRA, recommend that in present circumstances those on List B and C should where possible be arrested under the Special Powers Act and, where no other charges can be preferred, should either be charged with being members of an illegal organization or detained.",,,,
2149,IMG_1869,CJ_4_458,IMG_1869_CJ_4_458,J_Emergency-Policy,1,5. There is a dilemma here. One the one hand the Army have a clear case for seeking to use whatever powers are available to remove known gunmen from the streets; on the other this may not be the moment politically at which to be signing a fresh series of detention orders.,,,,
5103,IMG_1875,CJ_4_458,IMG_1875_CJ_4_458,J_Legal_Procedure,1,"2. The main change is that the current powers of arrest under Regulations 10 and 11 under the Special Powers Act remain both valid and usable by soldiers, albeit sparingly. The Blue Card therefore also remains valid in its entirety and Paragraph One of Reference B is cancelled.",,,,
2156,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Emergency-Policy,1,"c. Arrests are not to be made in respect of any offence committed before the ceasefire unless the individual concerned is named on the special list of ""wanted men"" about to be issued to the military authorities by the RUC; and then only if the individual is seen at large. He is not to be sought out.",,,,
5110,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Legal_Procedure,1,"1. The legal powers of soldiers to carry out arrests, whether under the Special Powers Act or other authority, are not affected by this Directive. ",,,,
5111,IMG_1876,CJ_4_458,IMG_1876_CJ_4_458,J_Legal_Procedure,2,"d. In relation to any conduct occurring after the cease-fire, arrests should be made in accordance with current procedures, but sparingly, and only for the purpose of handing over the individual concerned to the RUC with a view to a charge being preffered.",,,,
3787,IMG_1878,CJ_4_458,IMG_1878_CJ_4_458,J_Law-and-order,1,"(that is, an arresting officer may arrest any person whom he suspects of acting, or having acted, or of being about to act, in a manner [prejudical] to the preservation of the peace or the maintenance of order)",y,,,
5117,IMG_1878,CJ_4_458,IMG_1878_CJ_4_458,J_Legal_Procedure,1,"b. Arrests under Regulation 10 and 11 will only be made for the purpose of taking the arrested person to an RUC station so that a criminal charge, including one under a Regulation under the Special Powers Act, may be preferred. Such arrests are to be made in respect of conduct (that is, an arresting officer may arrest any person whom he suspects of acting, or having acted, or of being about to act, in a manner [prejudical] to the preservation of the peace or the maintenance of order) and therefore the last section of the paragraph 6 of the Blue Card is not to be used for the time being. All the other sections of paragraph 6 may continue to be used, as appropriate.",y,"c. Arrests under Regulation 11 will only be made for the purpose of taking the arrested person to an RUC station so that a criminal charge, including one under a Regulation under the Special Powers Act, may be preferred. Such arrests are to be made in respect of conduct and not simply membership of an illegal organisation, and therefore the last section of the paragraph 6 of the Blue Card is not to be used for the time being. All the other sections of paragraph 6 may continue to be used, as appropriate.",,
5124,IMG_1879,CJ_4_458,IMG_1879_CJ_4_458,J_Legal_Procedure,1,"2. The main change is that the current powers of arrest under Regulations 10 and 11 under the Special Powers Act remain both valid and usable by soldiers, albeit sparingly. The Blue Card therefore also remains valid in its entirety and Paragraph One of Reference B is cancelled.",,,,
2163,IMG_1880,CJ_4_458,IMG_1880_CJ_4_458,J_Emergency-Policy,1,"c. Arrests are not to be made in respect of any offence committed before the ceasefire unless the individual concerned is named on the special list of ""wanted men"" about to be issued to the military authorities by the RUC; and then only if the individual is seen at large. He is not to be sought out.",,,,
3920,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Legal_Procedure,1,"In case this should happen, it was all the more important that the Tribunals should be seen to be operating fairly and effectively.",,,,
5362,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Misc,1,"The possibility had to be faced that the Commission might report that there was no effective alternative to internment. In case this should happen, it was all the more important that the Tribunals should be seen to be operating fairly and effectively.",,,,
5376,IMG_9630,DEFE_13_1358,IMG_9630_DEFE_13_1358,J_Misc,1,"The key to successful military operations remains the acquisition of corroborated intelligence, the supply of which, though much improved, continues to be restricted by overriding political and legal restraints.",,,,
5390,IMG_9742,DEFE_13_1358,IMG_9742_DEFE_13_1358,J_Misc,1,The arrest and internment of wanted men continued and several important IRA officers were captured.,,,,
154,IMG_2327,DEFE_13_917,IMG_2327_DEFE_13_917,J_Denial,1,(These rules follow the broad principles for the treatment of persons under arrest or detention during civil disturbances as laid down in Article 3 of the Geneva Convention relative to the Treatment of Prisoners of War (1949)).,,,,
7245,IMG_2391,DEFE_13_917,IMG_2391_DEFE_13_917,J_Political-Strategic,1,"In passing, he told us that he understood that at this meeting General Tuzo had expressed opposition to internment and that he, [Pearie], had come to the conclusion that the internment decision was taken by politicians against the wishes of the army.",,,,
2002,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Emergency-Policy,1,"Our approach 1. ""Terrorism"" no doubt connotes violence, and violence for political ends. This could arise under normal conditions, in which case those suspected of such conduct would be dealt with in the same way as any other persons suspected of crime. We do not, however, construe our terms of reference as including in our inquiry ordinary police interrogation. We have accordingly confined our inquiry to interrogation in circumstances where some public emergency has arisen as a result of which suspects can legally be detained without trial.",,,,
4725,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Legal_Procedure,1,"Our approach 1. ""Terrorism"" no doubt connotes violence, and violence for political ends. This could arise under normal conditions, in which case those suspected of such conduct would be dealt with in the same way as any other persons suspected of crime. We do not, however, construe our terms of reference as including in our inquiry ordinary police interrogation. We have accordingly confined our inquiry to interrogation in circumstances where some public emergency has arisen as a result of which suspects can legally be detained without trial.",,,,
8309,IMG_1938,DEFE_13_919,IMG_1938_DEFE_13_919,J_Terrorism,1,"Our approach 1. ""Terrorism"" no doubt connotes violence, and violence for political ends. This could arise under normal conditions, in which case those suspected of such conduct would be dealt with in the same way as any other persons suspected of crime. We do not, however, construe our terms of reference as including in our inquiry ordinary police interrogation. We have accordingly confined our inquiry to interrogation in circumstances where some public emergency has arisen as a result of which suspects can legally be detained without trial.",,,,
2800,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,1,"Coming to recent times, the position in Northern Ireland prior to August 1971 was that the Security Forces were in need of hard intelligence. Information obtained by the R.U.C. by ordinary police interrogation had failed to provide anything but a general picture of the I.R.A. organization.",,,,
2801,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,2,"20. As a direct result of these two operations the following new information was obtained: (1) Identification of a further 700 members of both I.R.A. factions, and their positions in the organisations. (2) Over 40 sheets giving details of the organisation and structure of I.R.A. units and sub-units. (3) Details of possible I.R.A. operations; arms caches; safe houses; communications and supply routes, including those across the border; and locations of wanted persons. (4) Details of morale, operational directives, propaganda techniques, relations with other organisations and future plans. (5) The discovery of individual responsibility for about 85 incidents recorded on police files which had preivously remaind unexplained. 21. It is also not without significance that the rate at which arms, ammunication nad explosives discovered in Northern Ireland by the Security Forces increased markedly after 9th August, and much the greater part of the haul has resulted either directly or indirectly from information obtained by interrogation in depth. Details of the total amount discovered in 1971 are as follows: 1 January to 8 August, 9 August to 31 December: Machine guns: 1, 25; Rifles: 66, 178; Pistols/Revolvers: 86, 158; Shotguns: 40, 52; Rockets: --, 55; Ammunition: 41000 rounds, 115000 rounds; Explosives: 1194 lbs., 2541 lbs.",,,,
2802,IMG_1942,DEFE_13_919,IMG_1942_DEFE_13_919,J_Intelligence,3,"So far as the operations in Northern Ireland are concerned, however, the information given was quickly proved to be correct except in a few cases in which incorrect descriptions were given of persons who could not be identified by name. 23. A further advantage was the ""snowball"" effect generated by following up the information thus obtained. Moreover, the indirect effect of these two operations of interrogation was that further information could be, and was, more readily obtained by ordinary police interrogation.",,,,
2009,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Emergency-Policy,1,"The public emergencies in which alone we are concerned, though short of war in its ordinary sense, are in many ways worse than war. Guerilla warfare will be taking place within the country; friend and foe will not be identifiable; the rebels may be ruthless men determined to achieve their ends by indiscriminate attacks on innocent persons. If information is to be obtained, time must be of the essence of the operation.",,,,
2814,IMG_1944,DEFE_13_919,IMG_1944_DEFE_13_919,J_Intelligence,1,"The public emergencies in which alone we are concerned, though short of war in its ordinary sense, are in many ways worse than war. Guerilla warfare will be taking place within the country; friend and foe will not be identifiable; the rebels may be ruthless men determined to achieve their ends by indiscriminate attacks on innocent persons. If information is to be obtained, time must be of the essence of the operation.",,,,
2016,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Emergency-Policy,1,"b. Release of Hard-Core (119 persons). GOC and Chief Constable have submitted a list of NIO, by rank and employment, of those whose release would be particularly dangerous on security grounds. The greatest risk attaches to the 8 Battalion Commanders and 19 Explosive Officers.",,,,
6230,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,1,"In the GOC's view, these releases would represent further concessions to the IRA without any concessions on their part.",,,,
6231,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Misc,2,"d. Effect on the Army. COG thought that morale, particularly of units in the hard areas, would certainly suffer. Soldiers now regarded the Provisionals collectively as 'murderers'. Already they found it hard to understand that IRA volunteers, whom they believed to be shooting at them, should not be arrested. It was even worse when they saw men whom they had previously captured, who had been responsible for planning operations and the control of arms, even if not actually for killing, allowed their freedom to do these things again. ",,,,
7252,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,1,"However, he would not oppose it if there were thought to be real political advantages.",,,,
7253,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,2,"Other important factors are the effect of releases of the hard-core on Protestant opinion, and on the security forces.",,,,
7254,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Political-Strategic,3,"c. Effect on Loyalists. GOC thought that, apart from aggravation to UDA and other extremists at a particularly difficult moment, release of hard-core Provisionals would destroy what confidence the 'silent majority' had in the security authorities.",,,CODED WRONG?,
9184,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,1,Current statistics are that 30 out of the 341 so far released have been charged for fresh offenses and there is good intelligence that a further 64 are active again in the Provisional IRA.,,,,
9185,IMG_1963,DEFE_13_919,IMG_1963_DEFE_13_919,J_Utilitarian-Deterrence,2,"d. Effect on the Army. COG thought that morale, particularly of units in the hard areas, would certainly suffer. Soldiers now regarded the Provisionals collectively as 'murderers'. Already they found it hard to understand that IRA volunteers, whom they believed to be shooting at them, should not be arrested. It was even worse when they saw men whom they had previously captured, who had been responsible for planning operations and the control of arms, even if not actually for killing, allowed their freedom to do these things again. ",,,,
7259,IMG_1964,DEFE_13_919,IMG_1964_DEFE_13_919,J_Political-Strategic,1,"3. The GOC concluded that in his view only a really major political dividend, which he personally could not see, would justify the release of the 119 Provisional hardcore. He was therefore strongly opposed to it.",,,,
3563,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,1,"The only circumstances in which he would consider making such a recommendation are those of a security situation actually or potentially very much worse than the present; for example, if the security forces were unable to cantain the terrorists sufficiently to prevent frequent major bomb outrages or attacks on police stations, or if the IRA received substantial reinforcements from the Republic at a time when a major political issue made it easy for them to call large crowds out onto the streets.",,,CODED WRONG?,
3564,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Law-and-order,2,"The persons earmarked for arrest, of whom a handful are Protestants, are persons whose removal from the active scene would, ",,,CODED WRONG?,
8323,IMG_2152,DEFE_24_1214,IMG_2152_DEFE_24_1214,J_Terrorism,1,"The only circumstances in which he would consider making such a recommendation are those of a security situation actually or potentially very much worse than the present; for example, if the security forces were unable to cantain the terrorists sufficiently to prevent frequent major bomb outrages or attacks on police stations, or if the IRA received substantial reinforcements from the Republic at a time when a major political issue made it easy for them to call large crowds out onto the streets.",,,,
2030,IMG_2153,DEFE_24_1214,IMG_2153_DEFE_24_1214,J_Emergency-Policy,1,"In most cases they are known to be, or there is good reason to suppose that they are, members of organisations proscribed as illegal in Regulation 24A made under the Special Powers Act.",,,CODED WRONG?,
