,image_id,file_id,img_file_orig,justification,occurances,transcribed_text,handwriting,transcribed_handwriting,notes,,,11 in 20 min,33 in one hour,Total task: 5-6 hours (178 entries)
1267,IMG_6520,PREM_15_1000,IMG_6520_PREM_15_1000,J_Emergency-Policy,1,"Assume the military success is scored, what then? The advice that comes from Stormont is that in those circumstances, with intimidation lifted and lawful authority restored, the near-insurrection of large sections of the Roman Catholic community would come to an end. Constitutional politics could begin again, consent would be forthcoming, the corpus of legislative reform undertaken in the last two years would work through into the social system to everyone's benefit, consultations for institutional change could be begun on the lines indicated in Mr. Faulkner's Green Paper of October, and--in a word--normal service could be resumed.",,,,,,,,
3983,IMG_6538,PREM_15_1000,IMG_6538_PREM_15_1000,J_Legal_Procedure,1,"Mr. Faulkner has already undertaken to put forward composite proposals about the running of internment, which ought certainly to include those aspects of the matter - as well as the case for strengthening Judge Brown's committee so that it could work through more than one panel at a time.",,,,,,,,
5446,IMG_6538,PREM_15_1000,IMG_6538_PREM_15_1000,J_Misc,1,"But, as the GOC emphasised to the Home Secretary yesterday, it would be greatly preferable to avoid any releases based simply on expediency and concentrate instead on creating proper arrangements for categorising the internees, attempting to rehabilitate the more amenable among them and releasing those who really seem ready for it. ",,,,,,,,
5481,IMG_6635,PREM_15_1001,IMG_6635_PREM_15_1001,J_Misc,1,"For instance, it may not be realised that, since the introduction of internment, some 200 people arrested for arms and explosives offences have been tried and convicted. In other words, it was possible to avoid interning them.",,,,,,,,
4046,IMG_6711,PREM_15_1001,IMG_6711_PREM_15_1001,J_Legal_Procedure,1,The Prime Minister said that the Advisory Committee were continuing to recommend the release of those whom they thought it right to release; about 30 had already been released. He did not think that the IRA were not so short of arms that large numbers of internees could safely be released.,,,,,,,,
7854,IMG_6711,PREM_15_1001,IMG_6711_PREM_15_1001,J_Terrorism,1,The Prime Minister said that the Advisory Committee were continuing to recommend the release of those whom they thought it right to release; about 30 had already been released. He did not think that the IRA were not so short of arms that large numbers of internees could safely be released.,,,,,,,,
4060,IMG_6721,PREM_15_1001,IMG_6721_PREM_15_1001,J_Legal_Procedure,1,"The latest complete figures for those arrested in Northern Ireland under the Special Powers Acts are as follows. They are correct up to 12 January. Arrested: 2,009. Released without detention order: 1,153. Released after detention order: 97. Released after consideration by Advisory Committee: 26. Released from internment on recommendation of RUC: 2. 1,278. 731. Held under Regulation 10: 25. Held under detention order: 203. Interned: 503. 731. The latest figures for the Judge Brown Advisory Committee as at 12 January are:- Cases reviewed: 371. Number who refused to appear before the Committee: 289. Not recommended for release: 337. Recommended for release: 30. Released: 26. Refused to take oath and consequently still interned: 2. Recommendations still with the Ministry of Home Affairs: 2. Cases adjourned: 5.",,,,,,,,
5530,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Misc,1,"It has to be remembered that the substantial progress which has been made in Belfast, in mopping up known IRA members, has not so far been matched in other parts of the Province. In Belfast the build-up of intelligence, as a result of internment, has enabled this process to be pursued with such vigour, that the number of effective terrorists remaining at large within the city can be gauged.",,,,,,,,
7882,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Terrorism,1,"The Northern Ireland Government has made a provisional classification of all the internees into three categories. Those in the category of least danger - which contains roughly 25 percent (or 150) of the present internees - are mostly those who actually throw the bombs and fire the rifles. They are all IRA men; and their release carries the risk that they would go straight back to their previous activities, with an incentive to assassinate those in the security forces whom they now think they know to have been responsible for their original detention.",,,,,,,,
7883,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Terrorism,2,"It has to be remembered that the substantial progress which has been made in Belfast, in mopping up known IRA members, has not so far been matched in other parts of the Province. In Belfast the build-up of intelligence, as a result of internment, has enabled this process to be pursued with such vigour, that the number of effective terrorists remaining at large within the city can be gauged.",,,,,,,,
9065,IMG_6778,PREM_15_1002,IMG_6778_PREM_15_1002,J_Utilitarian-Deterrence,1,"The Northern Ireland Government has made a provisional classification of all the internees into three categories. Those in the category of least danger - which contains roughly 25 percent (or 150) of the present internees - are mostly those who actually throw the bombs and fire the rifles. They are all IRA men; and their release carries the risk that they would go straight back to their previous activities, with an incentive to assassinate those in the security forces whom they now think they know to have been responsible for their original detention.",,,,,,,,
4109,IMG_6784,PREM_15_1002,IMG_6784_PREM_15_1002,J_Legal_Procedure,1,"The latest complete figures for those arrested in Northern Ireland under the Special Powers Acts are as follows. They are correct up to 14th February. Arrested: 2,447. Released without detention order: 1,474. Released after detention order: 115. Escaped from detention: 10. Released after consideration by Advisory Committee: 31. Others released from internment: 4. Escaped from internment: 1. 1,635. 812. Held under Regulation 10: 37. Held under detention order: 124. Interned: 651. 812.",,,,,,,,
4137,IMG_6840,PREM_15_1002,IMG_6840_PREM_15_1002,J_Legal_Procedure,1,"The latest complete figures for those arrested in Northern Ireland under the Special Powers Acts are as follows. They are correct up to 7 February. Arrested: 2,364. Released without detention order: 1,408. Released after detention order: 113. Escaped from detentions: 10. Released after consideration by Advisory Committee: 31. Released from internment on recommendation of RUC: 2. 1,564. 800. Held under Regulation 10: 42. Held under detention order: 160. Interned: 598. 800. Statistics of proceedings before the Advisory Committee as at 31 January are as follows: Cases reviewed: 383. internees refused to appear: 291. Continued internment recommended: 345. Release recommended: 35. Refused to give undertaking not to indulge in violence or encourage others to do so and therefore still interned: 4. Cases adjourned: 3.",,,,,,,,
3409,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Law-and-order,1,"(i) Whether the internee was interned on reasonable grounds? (In assessing this they have in mind the regulations under the Special Powers Act which permit internment ""for securing the preservation of peace and the maintenance of order"").",,,,,,,,
4151,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Legal_Procedure,1,"On the last occasion when internment was in operation, a directive was given to the Committee. No directive has been issued on this occasion as it was thought better to emphasise the complete independence of the Committee from the Northern Ireland Government.",,,,,,,,
4152,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Legal_Procedure,2,"(i) Whether the internee was interned on reasonable grounds? (In assessing this they have in mind the regulations under the Special Powers Act which permit internment ""for securing the preservation of peace and the maintenance of order"").",,,,,,,,
9086,IMG_6843,PREM_15_1002,IMG_6843_PREM_15_1002,J_Utilitarian-Deterrence,1,(ii) What are the present attitudes and probable future intentions of the internee.,,,,,,,,
4158,IMG_6913,PREM_15_1003,IMG_6913_PREM_15_1003,J_Legal_Procedure,1,"The latest complete figures for those arrested in Northern Ireland under the Special Powers Acts are as follows. They are correct up to 2 March. Arrested: 2,644. Released without detention order: 1,568. Released after detention order: 148. Escaped from detention: 10. Released after consideration by Advisory Committee: 44. Others released from internment: 4. Escaped from internment: 1. 1,775. 869. Held under Regulation 10: 55. Held under detention order: 129. Interned: 685. 869.",,,,,,,,
5572,IMG_6925,PREM_15_1003,IMG_6925_PREM_15_1003,J_Misc,1,"And accompanying that activity - the bombing, the shooting, the intimidation - has been an utterly unscrupulous propaganda campaign. This has been designed to spread the notion that if we had not interned, everything would now be quite peaceful: Or that if we were to bring internment to an end, that would rapidly guarantee a return to peaceful conditions; and that in the meantime internment has been the great 'recruiting sergeant for the IRA'. ""The time has surely come to demonstrate what [cant] all of this is. Was the situation before internment getting better?",,,,,,,,
4627,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Legal_Procedure,1,The Government expressed regret that such an order should be necessary in any part of the United Kingdom. The Order gives effect to the Government's decision to end internment and detention by the Executive and provides for the establishment of Commissions.,,,,,,,,
4628,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Legal_Procedure,2,"12. The Secretary of State received on 6 December the report of the Diplock Commission, which has been considering changes in the administration of justice in Northern Ireland in order to deal more effectively with terrorists.",,,,,,,,
6090,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Misc,1,The Government expressed regret that such an order should be necessary in any part of the United Kingdom. The Order gives effect to the Government's decision to end internment and detention by the Executive and provides for the establishment of Commissions.,,,,,,,,
8225,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Terrorism,1,"10. The House of Commons approved the Detention of Terrorists (Northern Ireland) Order by 179 to 32 votes. Most Labour members, including Shadow Ministers abstained.",,,,,,,,
8226,IMG_8505,PREM_15_1016,IMG_8505_PREM_15_1016,J_Terrorism,2,"12. The Secretary of State received on 6 December the report of the Diplock Commission, which has been considering changes in the administration of justice in Northern Ireland in order to deal more effectively with terrorists.",,,,,,,,
4655,IMG_8716,PREM_15_1690,IMG_8716_PREM_15_1690,J_Legal_Procedure,1,7. There have been 18 appeals to the Tribunal 9 of which have been heard. The Tribunal confirmed the detention of 6 and discharged 3.,,,,,,,,
4656,IMG_8716,PREM_15_1690,IMG_8716_PREM_15_1690,J_Legal_Procedure,2,Those held in detention under Special Powers legislation now total 343 and are made up of: a. Detained by Commissioners: 286; b. Held on Interim Custody Orders: 57.,,,,,,,,
6146,IMG_9322,PREM_15_1692,IMG_9322_PREM_15_1692,J_Misc,1,"The Government would greatly prefer it if the ordinary criminal procedures were effective in bringing these people to justice, but the findings of the Diplock Commission prove conclusively that they are not and cannot be so effective.",y,"The Government would greatly prefer it if the ordinary criminal procedures were effective in bringing these people to justice, but the findings of the Diplock Commission were that they are not and cannot be so effective under present conditions in Northern Ireland.",,,,,,
3920,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Legal_Procedure,1,"In case this should happen, it was all the more important that the Tribunals should be seen to be operating fairly and effectively.",,,,,,,,
5362,IMG_9572,DEFE_13_1358,IMG_9572_DEFE_13_1358,J_Misc,1,"The possibility had to be faced that the Commission might report that there was no effective alternative to internment. In case this should happen, it was all the more important that the Tribunals should be seen to be operating fairly and effectively.",,,,,,,,
5376,IMG_9630,DEFE_13_1358,IMG_9630_DEFE_13_1358,J_Misc,1,"The key to successful military operations remains the acquisition of corroborated intelligence, the supply of which, though much improved, continues to be restricted by overriding political and legal restraints.",,,,,,,,
5390,IMG_9742,DEFE_13_1358,IMG_9742_DEFE_13_1358,J_Misc,1,The arrest and internment of wanted men continued and several important IRA officers were captured.,,,,,,,,
5761,IMG_0032,PREM_15_1010,PREM_15_1010_032,J_Misc,1,"On the answer to this question depends whether those who are taken in for interrogation, or some of them at any rate, are kept in custody - detention and internment. Without the prospect that at least some of those interrogated would be interned, the process of interrogation would be unlikely to succeed.",,,,,,,,
8533,IMG_0143,PREM_15_478,PREM_15_478_143,J_Terrorism,1,Internment had been introduced because the Government was faced with terrorism on an intolerable scale. It was the common interest of both countries to combat the activities of gunmen and it was hoped that the Governmnet of the Republic would be able to help achieve that objective.,,,,,,,,
6601,IMG_0160,PREM_15_478,PREM_15_478_160,J_Misc,1,"As you will see the best news is the good ""catch"" (304 [] 464).",,,,,,,,
1022,IMG_0186,PREM_15_478,PREM_15_478_186,J_Development-Unity,1,serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it essential to take this action, however abhorrent, [] in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
3297,IMG_0186,PREM_15_478,PREM_15_478_186,J_Last-resort,1,"In purely military terms, seeking to contain the situation by the means employed hitherto would have meant at best a long haul; and Faulkner's judgment was that the consequences of that for thecommunity would be worse than the consequences of what is now proposed.",y,"In purely military terms, seeking to contain this deteriorating situation by the means employed hitherto would have meant at best a long haul; and Faulkner's judgment was that the consequences of that for thecommunity would be worse than the consequences of what is now proposed.",,,,,,
8659,IMG_0186,PREM_15_478,PREM_15_478_186,J_Terrorism,1,serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it essential to take this action, however abhorrent, [] in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
9247,IMG_0186,PREM_15_478,PREM_15_478_186,J_Utilitarian-Deterrence,1,serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"serious acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate their campaign have made it essential to take this action, however abhorrent, [] in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
553,IMG_0187,PREM_15_478,PREM_15_478_187,J_Denial,1,"An advisory committee will be set up, to which any one who is interned will have the right to make representations.",,,,,,,,
3773,IMG_0189,PREM_15_478,PREM_15_478_189,J_Law-and-order,1,so as to enable the security forces to arrest and detain people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,y,The security forces are [currently] arresting and detaining people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,,,,,,
7546,IMG_0189,PREM_15_478,PREM_15_478_189,J_Political-Strategic,1,They will at the same time announce that all marches and parades are banned until further notice.,y,He will at the same time announce that all marches and parades are banned until further notice.,,,,,,
8666,IMG_0189,PREM_15_478,PREM_15_478_189,J_Terrorism,1,so as to enable the security forces to arrest and detain people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,y,The security forces are [currently] arresting and detaining people suspected of responsibility for committing or abetting acts of terrorism and other breaches of the peace designed to lead to a breakdown of law and order in Northern Ireland.,,,,,,
1050,IMG_0190,PREM_15_478,PREM_15_478_190,J_Development-Unity,1,declarations of their intention to continue and even escalate that campaign have made it impossible for him to [] the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland. ,,,,,,,,
3304,IMG_0190,PREM_15_478,PREM_15_478_190,J_Last-resort,1,"In purely military terms, seeking to contain the situation by the means employed hitherto would have meant at best a long haul.",,,,,,,,
7553,IMG_0190,PREM_15_478,PREM_15_478_190,J_Political-Strategic,1,to [] the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,,,,,,,,
8673,IMG_0190,PREM_15_478,PREM_15_478_190,J_Terrorism,1,declarations of their intention to continue and even escalate that campaign have made it impossible for him to [] the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland. ,,,,,,,,
9254,IMG_0190,PREM_15_478,PREM_15_478_190,J_Utilitarian-Deterrence,1,Faulkner's judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.,,,,,,,,
6699,IMG_0191,PREM_15_478,PREM_15_478_191,J_Misc,1,also the [fact] that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence.,,,,,,,,
8680,IMG_0191,PREM_15_478,PREM_15_478_191,J_Terrorism,1,also the [fact] that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence.,,,,,,,,
6706,IMG_0192,PREM_15_478,PREM_15_478_192,J_Misc,1,"If thi smove enables us to reduce the number of troops commited to Northern Ireland earlier than we would otherwise have done, that will be a welcome consequence of it.",,,,,,,,
560,IMG_0193,PREM_15_478,PREM_15_478_193,J_Denial,1,An advisory committee will be set up to which any one who is interned will have the right to make representations.,y ,,,,,,,
1057,IMG_0193,PREM_15_478,PREM_15_478_193,J_Development-Unity,1,"I have sent a further message to Mr. Lynch, asking him to react with understanding, even if with regret, and emphasising that we hope that these measures can be strictly temporary, and will serve to re-establish a situation in which we can get back to the task of making progress with building more harmonious inter-community relations in Northern Ireland.",y ,"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, to maintain the pressures he has [] been exerting on the IRA south of the border, and emphasising that we hope that these measures can be strictly temporary, and will not [prejudicate] continuing progress in the task of making progress with building more harmonious inter-community relations in Northern Ireland.",,,,,,
3101,IMG_0193,PREM_15_478,PREM_15_478_193,J_Intl-Domestic_Precedent,1,"A little time ago, I was in touch with Mr. Lynch to try to discover whether he was contemplating the possibility of internment south of the border, if we were forced to it north of the border. Clearly that would have added to its effectiveness; but our discussions showed that there was no possibility of parallel action south of the border.",y ,The effectiveness of internment north of the border would be greater if the Irish Government south of the border were prepared to introduce internment at the same time; but all that we know of the Lynch Government [] suggest that there is no possibility of parallel action south of the border.,,,,,,
6713,IMG_0193,PREM_15_478,PREM_15_478_193,J_Misc,1,"I have sent a further message to Mr. Lynch, asking him to react with understanding, even if with regret, and emphasising that we hope that these measures can be strictly temporary, and will serve to re-establish a situation in which we can get back to the task of making progress with building more harmonious inter-community relations in Northern Ireland.",y ,"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, to maintain the pressures he has [] been exerting on the IRA south of the border, and emphasising that we hope that these measures can be strictly temporary, and will not [prejudicate] continuing progress in the task of making progress with building more harmonious inter-community relations in Northern Ireland.",,,,,,
567,IMG_0195,PREM_15_478,PREM_15_478_195,J_Denial,1,"An advisory committee will be set up, to which anyone who is intered will have the right to make representations.",,,,,,,,
3780,IMG_0195,PREM_15_478,PREM_15_478_195,J_Law-and-order,1,"A reminder from you that violence serves no purpose, and that internment is aimed against particular individuals who are avowedly working for a breakdown of law and order, would be invaluable.",,,,,,,,
6720,IMG_0195,PREM_15_478,PREM_15_478_195,J_Misc,1,"5. When Faulkner came to London last week, he told us that he had come to the conclusion that internment was now the right and indeed inevitable course.",,,,,,,,
7595,IMG_0198,PREM_15_478,PREM_15_478_198,J_Political-Strategic,1,"He will also announce that all outstanding applications to start rifle clubs are being refused, and that no new applications will be considered.",,,,,,,,
1085,IMG_0199,PREM_15_478,PREM_15_478_199,J_Development-Unity,1,escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to [] the deterioration of morale and the undermining of economic and social stability in Norther Ireland.,y,[too complicated],,,,,,
3325,IMG_0199,PREM_15_478,PREM_15_478_199,J_Last-resort,1,"In purely military terms, seeking to contain the deteriorating situation by the means employed hitherto would have [meant a] best in long haul;",,,,,,,,
8708,IMG_0199,PREM_15_478,PREM_15_478_199,J_Terrorism,1,escalate their campaign have made it impossible for him to resist the pressures on him for more drastic action to [] the deterioration of morale and the undermining of economic and social stability in Norther Ireland.,y,[too complicated],,,,,,
1092,IMG_0200,PREM_15_478,PREM_15_478_200,J_Development-Unity,1,"escalate their campaign have made it impossible for him to resist the pressures on him, not only from his political supporters but from the business community and others whose lives are being disrupted, for more drastic action.",y,"escalate their campaign have made it essential to take this action however abhorent in order to prevent ... to resist the pressures on him, not only from his political supporters but also from the in-district community and others whose lives are being disrupted, for more drastic action.",,,,,,
3332,IMG_0200,PREM_15_478,PREM_15_478_200,J_Last-resort,1,"In purely military terms it would perhaps have been possible to hope that the situation could be restored by the means employed hitherto, as I know you yourself would have preferred. But that would have at best been a long haul, and Faulkner's judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.",y,"In purely military terms [taking to] action the situation by the means employed hitherto would have meant at best a long haul, and Faulkner's judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.",,,,,,
7609,IMG_0200,PREM_15_478,PREM_15_478_200,J_Political-Strategic,1,"escalate their campaign have made it impossible for him to resist the pressures on him, not only from his political supporters but from the business community and others whose lives are being disrupted, for more drastic action.",y,"escalate their campaign have made it essential to take this action however abhorent in order to prevent ... to resist the pressures on him, not only from his political supporters but also from the in-district community and others whose lives are being disrupted, for more drastic action.",,,,,,
8715,IMG_0200,PREM_15_478,PREM_15_478_200,J_Terrorism,1,"escalate their campaign have made it impossible for him to resist the pressures on him, not only from his political supporters but from the business community and others whose lives are being disrupted, for more drastic action.",y,"escalate their campaign have made it essential to take this action however abhorent in order to prevent ... to resist the pressures on him, not only from his political supporters but also from the in-district community and others whose lives are being disrupted, for more drastic action.",,,,,,
9282,IMG_0200,PREM_15_478,PREM_15_478_200,J_Utilitarian-Deterrence,1,"In purely military terms it would perhaps have been possible to hope that the situation could be restored by the means employed hitherto, as I know you yourself would have preferred. But that would have at best been a long haul, and Faulkner's judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.",y,"In purely military terms [taking to] action the situation by the means employed hitherto would have meant at best a long haul, and Faulkner's judgment was that the consequences of that for the community would be worse than the consequences of what is now proposed.",,,,,,
581,IMG_0201,PREM_15_478,PREM_15_478_201,J_Denial,1,"We have however sought to ensure that the measures taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. Protestant as well as Catholic and I.R.A. extremists will be liable to internment.",y,"We have however [] made clear our view that the measures taken should not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. ",,,,,,
8722,IMG_0201,PREM_15_478,PREM_15_478_201,J_Terrorism,1,"We have however sought to ensure that the measures taken do not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. Protestant as well as Catholic and I.R.A. extremists will be liable to internment.",y,"We have however [] made clear our view that the measures taken should not discriminate as between the different sections of the community, except as the facts of the situation make inevitable. ",,,,,,
588,IMG_0202,PREM_15_478,PREM_15_478_202,J_Denial,1,"An advisory committee will be set up, to which any one who is interned will have the right to make representations.",,,,,,,,
3794,IMG_0202,PREM_15_478,PREM_15_478_202,J_Law-and-order,1,"There will be many who will call for violent action in response to these measures; a reminder from you that violence serves no purpose, and that internment is [] against particular individuals who are avowedly working for a breakdown of law and order, would be invaluable.",,,,,,,,
1099,IMG_0203,PREM_15_478,PREM_15_478_203,J_Development-Unity,1,"Our hope certainly is that they can be strictly temporary, and will serve to re-establish a situation in which the many social and other reforms that have been introduced are recognised at their true value, and progress can again be [] on the task of building more harmonious inter-community relations in Northern Ireland.",y,"Our hope is that these measures can be strictly temporary, will serve to re-establish a situation in which the many social and other reforms that have been introduced and are [] become are recognised at their true value, and will not prejudice continuing progress on the task of building more harmonious inter-community relations in Northern Ireland.",,,,,,
6762,IMG_0203,PREM_15_478,PREM_15_478_203,J_Misc,1,"Our hope certainly is that they can be strictly temporary, and will serve to re-establish a situation in which the many social and other reforms that have been introduced are recognised at their true value, and progress can again be [] on the task of building more harmonious inter-community relations in Northern Ireland.",y,"Our hope is that these measures can be strictly temporary, will serve to re-establish a situation in which the many social and other reforms that have been introduced and are [] become are recognised at their true value, and will not prejudice continuing progress on the task of building more harmonious inter-community relations in Northern Ireland.",,,,,,
1106,IMG_0205,PREM_15_478,PREM_15_478_205,J_Development-Unity,1,The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
3339,IMG_0205,PREM_15_478,PREM_15_478_205,J_Last-resort,1,"In purely military terms, seeking to contain the situation by the means employed hitherto would have meant at best a long haul.",y,"In purely military terms, seeking to contain this deteriorating situation by the means employed hitherto would have meant at best a long haul.",,,,,,
3808,IMG_0205,PREM_15_478,PREM_15_478_205,J_Law-and-order,1,There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence.,y,"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",,,,,,
6776,IMG_0205,PREM_15_478,PREM_15_478_205,J_Misc,1,There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence.,y,"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",,,,,,
7623,IMG_0205,PREM_15_478,PREM_15_478_205,J_Political-Strategic,1,The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
8736,IMG_0205,PREM_15_478,PREM_15_478_205,J_Terrorism,1,The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it impossible for him to resist the pressures on him for more drastic action to arrest the deterioration of morale and the undermining of economic and social stability in Northern Ireland.,y,"The latest series of acts of terrorism by the I.R.A. and their recent declarations of their intention to continue and even escalate that campaign have made it essential to take this action, however abhorrent, in order to prevent the undermining of economic and social stability in Northern Ireland.",,,,,,
8737,IMG_0205,PREM_15_478,PREM_15_478_205,J_Terrorism,2,There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence.,y,"There is also the fact that the intimidation of the population by the terrorists has been increasingly hampering the process of gathering intelligence, and has impeded the cause of justice.",,,,,,
6783,IMG_0206,PREM_15_478,PREM_15_478_206,J_Misc,1,"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, to maintain the pressures he has discretely been exerting on the I.R.A. south of the border, and emphasising that we hope that these measures can be strictly temporary",y,"I have however sent a message to Lynch, asking him to react with understanding, even if with regret, and emphasising that we hope that these measures can be strictly temporary",,,,,,
3346,IMG_0215,PREM_15_478,PREM_15_478_215,J_Last-resort,1,"On internment, the argument that seems",,,,,,,,
3353,IMG_0216,PREM_15_478,PREM_15_478_216,J_Last-resort,1,"to me to any great force is Lord Carrington's it is a last thing. If this is right, it seems to me that it should be something which you do when you visibly have to, and not before: not as part of a deal for banning marches.",,,,,,,,