,justification,file_id,image_id,file_id_orig,ref_count,coded_refs
665,J_Legal_Procedure,PREM_15_1690,IMG_8716,PREM_15_1690,2,"['', 'Reference 1 - 1.33% Coverage\nPage 1 : (84,12) - (505,42)\n', 'Reference 2 - 2.85% Coverage\nPage 1 : (82,58) - (479,126)']"
671,J_Legal_Procedure,CJ_4_251,IMG_1758,CJ_4_251,3,"['', 'Reference 1 - 2.60% Coverage\nPage 1 : (126,153) - (478,221)\n', 'Reference 2 - 3.87% Coverage\nPage 1 : (112,522) - (535,606)\n', 'Reference 3 - 2.99% Coverage\nPage 1 : (85,685) - (477,755)']"
673,J_Legal_Procedure,CJ_4_251,IMG_1770,CJ_4_251,1,"['', 'Reference 1 - 5.60% Coverage\nPage 1 : (134,152) - (505,293)']"
675,J_Legal_Procedure,DEFE_13_919,IMG_1938,DEFE_13_919,1,"['', 'Reference 1 - 4.90% Coverage\nPage 1 : (66,92) - (461,206)']"
689,J_Legal_Procedure,DEFE_24_1214,IMG_2217,DEFE_24_1214,1,"['', 'Reference 1 - 1.48% Coverage\nPage 1 : (74,72) - (475,106)']"
691,J_Legal_Procedure,DEFE_24_1214,IMG_2233,DEFE_24_1214,2,"['', 'Reference 1 - 3.94% Coverage\nPage 1 : (46,324) - (593,420)\n', 'Reference 2 - 3.30% Coverage\nThe power of internment is contained in Regulation 12 made under the Civil Authorities (Special Powers) Acts (Northern Ireland) 1922-43,']"
692,J_Legal_Procedure,DEFE_24_1214,IMG_2234,DEFE_24_1214,1,"['', 'Reference 1 - 2.29% Coverage\nPage 1 : (189,251) - (444,370)']"
703,J_Legal_Procedure,PREM_15_475,IMG_4938,PREM_15_475,1,"['', 'Reference 1 - 8.45% Coverage\nPage 1 : (83,631) - (567,811)']"
711,J_Legal_Procedure,PREM_15_475,IMG_5089,PREM_15_475,1,"['', 'Reference 1 - 3.70% Coverage\nPage 1 : (88,278) - (466,369)']"
739,J_Legal_Procedure,PREM_15_480,IMG_5606,PREM_15_480,2,"['', 'Reference 1 - 2.82% Coverage\nPage 1 : (67,336) - (499,396)\n', 'Reference 2 - 2.83% Coverage\nPage 1 : (61,640) - (534,695)']"
745,J_Legal_Procedure,PREM_15_482,IMG_6133,PREM_15_482,1,"['', 'Reference 1 - 1.47% Coverage\nPage 1 : (58,176) - (487,209)']"
755,J_Legal_Procedure,PREM_15_482,IMG_6239,PREM_15_482,1,"['', 'Reference 1 - 5.07% Coverage\nPage 1 : (61,148) - (690,249)']"
766,J_Misc,DEFE_13_1358,IMG_9572,DEFE_13_1358,1,"['', 'Reference 1 - 2.49% Coverage\nPage 1 : (87,617) - (545,668)']"
768,J_Misc,DEFE_13_1358,IMG_9630,DEFE_13_1358,1,"['', 'Reference 1 - 2.22% Coverage\nPage 1 : (54,146) - (508,191)']"
770,J_Misc,DEFE_13_1358,IMG_9742,DEFE_13_1358,1,"['', 'Reference 1 - 1.20% Coverage\nPage 1 : (82,331) - (508,357)']"
774,J_Misc,PREM_15_1000,IMG_6477,PREM_15_1000,1,"['', 'Reference 1 - 0.74% Coverage\nPage 1 : (178,92) - (458,118)']"
776,J_Misc,PREM_15_1000,IMG_6493,PREM_15_1000,1,"['', 'Reference 1 - 9.03% Coverage\nPage 1 : (45,548) - (582,706)']"
778,J_Misc,PREM_15_1000,IMG_6538,PREM_15_1000,1,"['', 'Reference 1 - 5.30% Coverage\nPage 1 : (96,327) - (574,441)']"
783,J_Misc,PREM_15_1001,IMG_6635,PREM_15_1001,1,"['', 'Reference 1 - 4.83% Coverage\nPage 1 : (128,152) - (504,272)']"
790,J_Misc,PREM_15_1002,IMG_6778,PREM_15_1002,2,"['', 'Reference 1 - 3.60% Coverage\nPage 1 : (137,622) - (576,701)\n', 'Reference 2 - 4.37% Coverage\nIt has to be remembered that the substantial progress which has been made in Belfast, \nto be pursued with such vigour, that the number of effective terrorists remaining at large within the city can be gauged.']"
796,J_Misc,PREM_15_1003,IMG_6925,PREM_15_1003,2,"['', 'Reference 1 - 4.73% Coverage\nPage 1 : (97,504) - (527,618)\n', 'Reference 2 - 11.42% Coverage\n’’VEFE TE FERCFIPLE, ELEClEC LEADERS OF MINCRITY CPINIONI’ TFEE CRITICPl ’EL \nA""’ C ""CNTHS EEFCFE INTERNMENT \nEYEFCIED’C CF SEEI1""C TC EXERCISE IN THE COMMUNITY AN INFLUENCE FCF FESTFAINT? VERE -TFY AmilSING THEIR SUPPCTERS TC FCA VITH CTHEF A GF:pO’C CAL ITICN AGAINST VICLENCE AND TERRCRISM? \nC"" THE CCN!TFAFY: VHEf CFrEREC A MAJCF STEP IN THE CIRECTION OF PAR:TICIPATIC"" A""C I ""’\\CLVEMENT, THEY SHIED AVAY LIKE A FR ICHTE""EC FCREE. THEY PCSITIVELY FELL CVER THEMSELVES TC CISEPGAGE FRCM THE DEMCCFATIC PROCESE. THEY DEL IBERATELY CREATEC A VACUUM, AND DID iCT CARE THAT IT WAS THE MEN VITH THE ELACF PEFETE AND THE SECRET PCMB IN THE NIGHT AHC WCUL FILL THAT VCIC.']"
823,J_Misc,PREM_15_1010,IMG_0032,PREM_15_1010_032,1,"['', 'Reference 1 - 2.78% Coverage\nPage 1 : (143,143) - (553,218)']"
830,J_Misc,PREM_15_483,IMG_6110,PREM_15_483,1,"['', 'Reference 1 - 3.59% Coverage\nPage 1 : (65,640) - (583,734)']"
870,J_Misc,PREM_15_1016,IMG_8505,PREM_15_1016,1,"['', 'Reference 1 - 2.25% Coverage\nPage 1 : (65,165) - (507,212)']"
878,J_Misc,PREM_15_1692,IMG_9322,PREM_15_1692,2,"['', 'Reference 1 - 5.09% Coverage\nPage 1 : (173,218) - (551,343)\n', 'Reference 2 - 15.20% Coverage\nIt will become clear(once the Bill is passed) that detention procedures are temporary and that, given an end to the appalling conditions which make them necessary, they will be allowed to lapse. H.M. Government have no intention of keeping these provisions in force a moment longer than is necessary.']"
888,J_Misc,CJ_4_251,IMG_1786,CJ_4_251,1,"['', 'Reference 1 - 2.98% Coverage\nPage 1 : (69,420) - (526,480)']"
890,J_Misc,DEFE_13_919,IMG_1963,DEFE_13_919,2,"['', 'Reference 1 - 1.01% Coverage\nPage 1 : (83,357) - (504,379)\n', 'Reference 2 - 6.45% Coverage\nPage 1 : (63,575) - (553,696)']"
943,J_Misc,PREM_15_478,IMG_0160,PREM_15_478_160,1,"['', 'Reference 1 - 1.64% Coverage\nPage 1 : (176,417) - (339,472)']"
957,J_Misc,PREM_15_478,IMG_0191,PREM_15_478_191,1,"['', 'Reference 1 - 5.61% Coverage\nPage 1 : (84,289) - (411,388)']"
958,J_Misc,PREM_15_478,IMG_0192,PREM_15_478_192,2,"['', 'Reference 1 - 2.32% Coverage\nPage 1 : (18,426) - (121,564)\n', 'Reference 2 - 7.93% Coverage\nThe decision is, of course, Faulkner’s, since the \npowers under which these measures are taken are powers of the Northern Ireland Government.']"
959,J_Misc,PREM_15_478,IMG_0193,PREM_15_478_193,1,"['', 'Reference 1 - 7.55% Coverage\nPage 1 : (103,334) - (462,473)']"
960,J_Misc,PREM_15_478,IMG_0195,PREM_15_478_195,4,"['', 'Reference 1 - 1.11% Coverage\nPage 1 : (69,297) - (434,328)\n', 'Reference 2 - 3.82% Coverage\nI AM SENDING YOU THIS MESSAGE TO LET YOU KNOW THAT THE PRIME \nMINISTER OF NORTHERN IRELAND WILL VERY SHORTLY BE ANNOUNCING THAT, IN THE LIGHT OF THE LATEST ASSESSMENT OF THE SECURITY SITUATION IN NORTHERN IRELAND AND ALL OTHER RELEVANT FACTORS AND AFTER CONSULTATION WITH THE BRITISH GOVERNMENT, THE NORTHERN IRELAND GOVERNMENT HAS DECIDED TO ACTIVATE ITS POWERS OF INTERNMENT.\n', 'Reference 3 - 1.27% Coverage\nDECISION IS HIS, THOUGH HE HAS REACHED IT AFTER CONSULTATION WITH US. \nTHAT IS HIS JUDGEMENT OF THE SITUATION, AND OF COURSE THE\n', 'Reference 4 - 3.59% Coverage\nOUR HOPE S THAT THESE MEASURES CAN BE STRICTl Y TEMPORARY, WILL SERVE TO REESTABLISH A SITUATION IN WHICH THE MANY SOCIAL. \nAND OTHER REFORMS THAT HAVE BEEN INTRODUCED AND ARE STILL TO COME ARE RECOGNISED AT THEIR TRUE VALUE, AND WILL NOT PREJUDICE CONTINUING PROGRESS ON THE TASK OF BUILDING MORE HARMONIOUS INTER-COMMUNITY RELATIONS IN NORTHERN IRELAND.']"
966,J_Misc,PREM_15_478,IMG_0203,PREM_15_478_203,1,"['', 'Reference 1 - 10.69% Coverage\nPage 1 : (81,214) - (440,387)']"
968,J_Misc,PREM_15_478,IMG_0205,PREM_15_478_205,3,"['', 'Reference 1 - 3.96% Coverage\nPage 1 : (58,311) - (414,380)\n', 'Reference 2 - 1.38% Coverage\nthe right and indeed inevitable course.\n', 'Reference 3 - 5.69% Coverage\nIf this move enables us to reduce the number of troops committed to Northern Ireland earlier than we could otherwise have done, that will be a welcome consequence of it.']"
969,J_Misc,PREM_15_478,IMG_0206,PREM_15_478_206,1,"['', 'Reference 1 - 5.85% Coverage\nPage 1 : (61,543) - (425,643)']"
976,J_Misc,PREM_15_479,IMG_5801,PREM_15_479,1,"['', 'Reference 1 - 4.23% Coverage\nPage 1 : (67,615) - (490,707)']"
985,J_Misc,PREM_15_480,IMG_5606,PREM_15_480,1,"['', 'Reference 1 - 2.83% Coverage\nPage 1 : (61,640) - (534,695)']"
1007,J_Political-Strategic,PREM_15_1000,IMG_6461,PREM_15_1000,1,"['', 'Reference 1 - 7.24% Coverage\nPage 1 : (127,107) - (527,277)']"
1008,J_Political-Strategic,PREM_15_1000,IMG_6479,PREM_15_1000,1,"['', 'Reference 1 - 6.19% Coverage\nPage 1 : (84,100) - (537,230)']"
1035,J_Political-Strategic,DEFE_13_917,IMG_2391,DEFE_13_917,1,"['', 'Reference 1 - 2.70% Coverage\nPage 1 : (111,309) - (524,369)']"
1036,J_Political-Strategic,DEFE_13_919,IMG_1963,DEFE_13_919,3,"['', 'Reference 1 - 1.14% Coverage\nPage 1 : (87,377) - (506,402)\n', 'Reference 2 - 1.91% Coverage\nPage 1 : (77,456) - (528,495)\n', 'Reference 3 - 2.96% Coverage\nPage 1 : (74,504) - (506,567)']"
1037,J_Political-Strategic,DEFE_13_919,IMG_1964,DEFE_13_919,1,"['', 'Reference 1 - 3.25% Coverage\nPage 1 : (32,31) - (530,91)']"
1042,J_Political-Strategic,DEFE_24_1214,IMG_2189,DEFE_24_1214,2,"['', 'Reference 1 - 2.78% Coverage\nPage 1 : (118,203) - (642,282)\n', 'Reference 2 - 1.49% Coverage\nPage 1 : (88,288) - (642,328)']"
1043,J_Political-Strategic,DEFE_24_1214,IMG_2190,DEFE_24_1214,3,"['', 'Reference 1 - 1.66% Coverage\nPage 1 : (38,145) - (552,175)\n', 'Reference 2 - 2.17% Coverage\nA policy once started,. should not b givori up: eg\n', 'Reference 3 - 2.22% Coverage\ndetention of IRA hunger strikers was a grave error']"
1044,J_Political-Strategic,DEFE_24_1214,IMG_2191,DEFE_24_1214,2,"['', 'Reference 1 - 2.97% Coverage\nPage 1 : (39,138) - (540,193)\n', 'Reference 2 - 4.25% Coverage\nPage 1 : (25,235) - (581,306)']"
1053,J_Political-Strategic,DEFE_24_1214,IMG_2213,DEFE_24_1214,1,"['', 'Reference 1 - 4.05% Coverage\nPage 1 : (41,403) - (516,483)']"
1055,J_Political-Strategic,DEFE_24_1214,IMG_2217,DEFE_24_1214,1,"['', 'Reference 1 - 1.27% Coverage\nPage 1 : (63,361) - (467,390)']"
1057,J_Political-Strategic,DEFE_24_1214,IMG_2235,DEFE_24_1214,1,"['', 'Reference 1 - 5.82% Coverage\nPage 1 : (31,206) - (473,328)']"
1078,J_Political-Strategic,PREM_15_478,IMG_0189,PREM_15_478_189,2,"['', 'Reference 1 - 2.42% Coverage\nPage 1 : (13,454) - (92,655)\n', 'Reference 2 - 3.44% Coverage\nwill at the same time announce that all marches \nand parades are banned until further notice.']"
1079,J_Political-Strategic,PREM_15_478,IMG_0190,PREM_15_478_190,1,"['', 'Reference 1 - 5.09% Coverage\nPage 1 : (112,240) - (454,322)']"
1085,J_Political-Strategic,PREM_15_478,IMG_0198,PREM_15_478_198,2,"['', 'Reference 1 - 2.19% Coverage\nPage 1 : (8,398) - (92,570)\n', 'Reference 2 - 3.23% Coverage\nwill at the same time announce that all marches \nand parades are banned until further notice.']"
1087,J_Political-Strategic,PREM_15_478,IMG_0200,PREM_15_478_200,2,"['', 'Reference 1 - 5.99% Coverage\nPage 1 : (93,54) - (459,162)\n', 'Reference 2 - 12.77% Coverage\nFor our part, we made it clear that there could be no question of our accepting internment, and instructing our forces to help to implement it, if it was not accompanied by a complete ban on marches and parades of all kinds; and we have made clear our present view that that ban will need to remain in force lasts, though the extension \nsix months remains \nformally open for discussion.']"
1089,J_Political-Strategic,PREM_15_478,IMG_0205,PREM_15_478_205,2,"['', 'Reference 1 - 8.48% Coverage\nPage 1 : (60,88) - (433,229)\n', 'Reference 2 - 3.98% Coverage\nBut \nwe have made it clear to Faulkner that there could be no question of our accepting internment, and instructing our']"
1100,J_Political-Strategic,PREM_15_479,IMG_5802,PREM_15_479,1,"['', 'Reference 1 - 3.04% Coverage\nPage 1 : (78,283) - (522,346)']"
1122,J_Terrorism,PREM_15_1001,IMG_6711,PREM_15_1001,3,"['', 'Reference 1 - 0.73% Coverage\nPage 1 : (107,823) - (633,843)\n', 'Reference 2 - 2.90% Coverage\nWould it be \npossible, as a gesture, to let out some internees who were not terrorists but wore only members of the political wing of the IRA?\n', 'Reference 3 - 4.79% Coverage\ncontinuing to recommend the release of those whom were now \nso short of arms that large numbers of internees could safely be released. \nthey thought it right to release; about 30 had already been released. He did not think that the I']"
1126,J_Terrorism,PREM_15_1002,IMG_6778,PREM_15_1002,4,"['', 'Reference 1 - 4.93% Coverage\nPage 1 : (141,290) - (561,403)\n', 'Reference 2 - 3.60% Coverage\nPage 1 : (137,622) - (576,701)\n', 'Reference 3 - 4.06% Coverage\nThe morale and operational effectiveness of the IRA, and hence their level of intimidation, \nwould inevitably rise the moment they knew that arrests under the Special Powers Act had stopped.\n', 'Reference 4 - 4.37% Coverage\nIt has to be remembered that the substantial progress which has been made in Belfast, \nto be pursued with such vigour, that the number of effective terrorists remaining at large within the city can be gauged.']"
1175,J_Terrorism,PREM_15_1016,IMG_8505,PREM_15_1016,2,"['', 'Reference 1 - 1.52% Coverage\nPage 1 : (60,139) - (543,168)\n', 'Reference 2 - 1.82% Coverage\nPage 1 : (67,293) - (521,330)']"
1187,J_Terrorism,DEFE_13_919,IMG_1938,DEFE_13_919,1,"['', 'Reference 1 - 4.90% Coverage\nPage 1 : (66,92) - (461,206)']"
1189,J_Terrorism,DEFE_24_1214,IMG_2152,DEFE_24_1214,1,"['', 'Reference 1 - 8.38% Coverage\nPage 1 : (81,334) - (623,566)']"
1219,J_Terrorism,PREM_15_478,IMG_0143,PREM_15_478_143,4,"['', 'Reference 1 - 1.78% Coverage\nPage 1 : (70,513) - (415,547)\n', 'Reference 2 - 0.95% Coverage\nterrorism on an intolerable scale.\n', 'Reference 3 - 1.88% Coverage\nInternment had been introduced because the Government was faced with\n', 'Reference 4 - 4.74% Coverage\nIt was in the common interest of both \ncountries to combat the activities of gunmen and it was hoped that the Government of the Republic would be able to help achieve that objective.']"
1237,J_Terrorism,PREM_15_478,IMG_0186,PREM_15_478_186,1,"['', 'Reference 1 - 7.15% Coverage\nPage 1 : (60,91) - (416,215)']"
1238,J_Terrorism,PREM_15_478,IMG_0189,PREM_15_478_189,2,"['', 'Reference 1 - 5.54% Coverage\nPage 1 : (99,246) - (449,350)\n', 'Reference 2 - 2.59% Coverage\nThe latest series of acts of terrorism by the I.R.A. and their recent.']"
1239,J_Terrorism,PREM_15_478,IMG_0190,PREM_15_478_190,2,"['', 'Reference 1 - 5.09% Coverage\nPage 1 : (112,240) - (454,322)\n', 'Reference 2 - 27.91% Coverage\ndeclarations of their intention to continue and even escalate that campaign have made it impossible for him']"
1240,J_Terrorism,PREM_15_478,IMG_0191,PREM_15_478_191,1,"['', 'Reference 1 - 5.61% Coverage\nPage 1 : (84,289) - (411,388)']"
1244,J_Terrorism,PREM_15_478,IMG_0199,PREM_15_478_199,1,"['', 'Reference 1 - 4.34% Coverage\nPage 1 : (85,76) - (430,160)']"
1245,J_Terrorism,PREM_15_478,IMG_0200,PREM_15_478_200,1,"['', 'Reference 1 - 5.99% Coverage\nPage 1 : (93,54) - (459,162)']"
1246,J_Terrorism,PREM_15_478,IMG_0201,PREM_15_478_201,1,"['', 'Reference 1 - 6.87% Coverage\nPage 1 : (107,267) - (463,373)']"
1248,J_Terrorism,PREM_15_478,IMG_0205,PREM_15_478_205,2,"['', 'Reference 1 - 8.48% Coverage\nPage 1 : (60,88) - (433,229)\n', 'Reference 2 - 3.96% Coverage\nPage 1 : (58,311) - (414,380)']"
1253,J_Terrorism,PREM_15_479,IMG_5801,PREM_15_479,2,"['', 'Reference 1 - 3.18% Coverage\nPage 1 : (70,95) - (494,164)\n', 'Reference 2 - 4.23% Coverage\nPage 1 : (67,615) - (490,707)']"
1254,J_Terrorism,PREM_15_479,IMG_5802,PREM_15_479,1,"['', 'Reference 1 - 2.28% Coverage\nPage 1 : (75,222) - (520,269)']"
1255,J_Terrorism,PREM_15_479,IMG_5835,PREM_15_479,1,"['', 'Reference 1 - 6.71% Coverage\nPage 1 : (49,347) - (535,474)']"
1271,J_Terrorism,PREM_15_480,IMG_5606,PREM_15_480,1,"['', 'Reference 1 - 3.45% Coverage\nPage 1 : (68,400) - (508,472)']"
1277,J_Terrorism,PREM_15_481,IMG_5766,PREM_15_481,1,"['', 'Reference 1 - 4.35% Coverage\nPage 1 : (34,275) - (658,368)']"
1295,J_Utilitarian-Deterrence,PREM_15_1002,IMG_6778,PREM_15_1002,1,"['', 'Reference 1 - 4.93% Coverage\nPage 1 : (141,290) - (561,403)']"
1298,J_Utilitarian-Deterrence,PREM_15_1002,IMG_6843,PREM_15_1002,1,"['', 'Reference 1 - 1.58% Coverage\nPage 1 : (156,304) - (454,354)']"
1312,J_Utilitarian-Deterrence,DEFE_13_919,IMG_1963,DEFE_13_919,2,"['', 'Reference 1 - 1.57% Coverage\nPage 1 : (85,324) - (522,357)\n', 'Reference 2 - 6.45% Coverage\nPage 1 : (63,575) - (553,696)']"
1316,J_Utilitarian-Deterrence,DEFE_24_1214,IMG_2234,DEFE_24_1214,1,"['', 'Reference 1 - 2.55% Coverage\nPage 1 : (191,369) - (441,504)']"
1321,J_Utilitarian-Deterrence,PREM_15_478,IMG_0186,PREM_15_478_186,1,"['', 'Reference 1 - 7.02% Coverage\nPage 1 : (62,199) - (426,318)']"
1322,J_Utilitarian-Deterrence,PREM_15_478,IMG_0190,PREM_15_478_190,1,"['', 'Reference 1 - 4.04% Coverage\nPage 1 : (111,360) - (464,423)']"
1326,J_Utilitarian-Deterrence,PREM_15_478,IMG_0200,PREM_15_478_200,1,"['', 'Reference 1 - 8.68% Coverage\nPage 1 : (97,141) - (453,302)']"
1328,J_Utilitarian-Deterrence,PREM_15_479,IMG_5835,PREM_15_479,2,"['', 'Reference 1 - 9.66% Coverage\nPage 1 : (55,211) - (543,393)\n', 'Reference 2 - 7.21% Coverage\nPage 1 : (37,479) - (521,616)']"
1335,J_Utilitarian-Deterrence,PREM_15_481,IMG_5687,PREM_15_481,1,"['', 'Reference 1 - 1.53% Coverage\nPage 1 : (128,358) - (473,399)']"
